상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220811193153,하카타,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800103460016,1,대지,346,16,서울특별시 동대문구 회기동 346-16,112304115022,서울특별시 동대문구 경희대로4길,72,,1123010800103460016010798,,서울특별시 동대문구 경희대로4길 72,130881,02452,,1,,127.056274068509,37.591220646524
MA010120220803651154,GS25경희의대점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100030004,1,대지,3,4,서울특별시 동대문구 회기동 3-4,112304115696,서울특별시 동대문구 회기로23가길,21,,1123010800100030003010507,,서울특별시 동대문구 회기로23가길 21,130872,02453,,1,,127.054225449105,37.5923208156691
MA010120220812289674,벤첸트,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100450100,1,대지,45,100,서울특별시 동대문구 회기동 45-100,112304115695,서울특별시 동대문구 회기로21길,8,8,1123010800100450100010739,,서울특별시 동대문구 회기로21길 8-8,130872,02453,,1,,127.053398342189,37.5915733694265
MA010120220804354249,파파니,,G2,소매,G218,장식품 소매,G21802,기념품점,G47842,기념품; 관광 민예품 및 장식용품 소매업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100450061,1,대지,45,61,서울특별시 동대문구 회기동 45-61,112303105020,서울특별시 동대문구 회기로,155,1,1123010800100450061010827,,서울특별시 동대문구 회기로 155-1,130872,02453,,1,,127.053669739985,37.5910867106256
MA010120220803043607,굿갓,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100160023,1,대지,16,23,서울특별시 동대문구 회기동 16-23,112304115693,서울특별시 동대문구 회기로19길,12,,1123010800100160023010624,,서울특별시 동대문구 회기로19길 12,130872,02453,,1,,127.052979756287,37.592078113561
MA010120220809617349,보이스스토리,,R1,예술·스포츠,R102,도서관·사적지,R10202,독서실/스터디 카페,R90212,독서실 운영업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100600055,1,대지,60,55,서울특별시 동대문구 회기동 60-55,112304115019,서울특별시 동대문구 경희대로1길,15,,1123010800100600055010674,,서울특별시 동대문구 경희대로1길 15,130872,02454,,1,,127.051247102964,37.5917094718451
MA010120220803923880,일미기사식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100600267,1,대지,60,267,서울특별시 동대문구 회기동 60-267,112303105020,서울특별시 동대문구 회기로,105,,1123010800100600267011413,,서울특별시 동대문구 회기로 105,130872,02455,,1,,127.04809934725,37.591692776708
MA010120220803713915,주리화점,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100450049,1,대지,45,49,서울특별시 동대문구 회기동 45-49,112303105020,서울특별시 동대문구 회기로,149,,1123010800100450049041174,,서울특별시 동대문구 회기로 149,130872,02453,,,,127.053058619833,37.5915194631066
MA010120220800094276,서진공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100670003,1,대지,67,3,서울특별시 동대문구 회기동 67-3,112303105010,서울특별시 동대문구 이문로,3,,1123010800100670003010591,민족통일엠제이캠퍼스경희대,서울특별시 동대문구 이문로 3,130872,02461,,1,,127.05367931555,37.5886540271259
MA010120220808643998,헤이즐넛버터,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100420080,1,대지,42,80,서울특별시 동대문구 회기동 42-80,112304115021,서울특별시 동대문구 경희대로3길,27,,1123010800100420080000001,마이바움회기,서울특별시 동대문구 경희대로3길 27,130872,02454,,1,,127.050987397279,37.5927637448681
MA010120220810029680,삼성공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100760001,1,대지,76,1,서울특별시 동대문구 회기동 76-1,112303105020,서울특별시 동대문구 회기로,172,,1123010800100760001011098,,서울특별시 동대문구 회기로 172,130872,02460,,1,,127.055073133836,37.5902391315429
MA010120220800475497,광덕안정한의원회기점,,Q1,보건의료,Q102,의원,Q10211,한의원,Q86203,한의원,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800103460007,1,대지,346,7,서울특별시 동대문구 회기동 346-7,112303105010,서울특별시 동대문구 이문로,29,,1123010800103460007011069,외,서울특별시 동대문구 이문로 29,130881,02452,,3,,127.055933711864,37.5903198161727
MA010120220800533106,대한에너지,,M1,과학·기술,M109,기술 서비스,M10999,기타 엔지니어링 서비스업,M72129,기타 엔지니어링 서비스업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800101100012,1,대지,110,12,서울특별시 동대문구 회기동 110-12,112304115021,서울특별시 동대문구 경희대로3길,64,4,1123010800101100012010243,,서울특별시 동대문구 경희대로3길 64-4,130873,02454,,지,,127.049935377556,37.5942868706543
MA010120220809696613,포토이즘박스경희점,,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800103460020,1,대지,346,20,서울특별시 동대문구 회기동 346-20,112303105020,서울특별시 동대문구 회기로,171,,1123010800103460020010584,,서울특별시 동대문구 회기로 171,130881,02452,,,,127.055050701004,37.5905274595091
MA010120220811873444,심쿵피어싱회기점,,G2,소매,G209,섬유·의복·신발 소매,G20907,액세서리/잡화 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100450073,1,대지,45,73,서울특별시 동대문구 회기동 45-73,112303105020,서울특별시 동대문구 회기로,151,2,1123010800100450073010706,,서울특별시 동대문구 회기로 151-2,130872,02453,,1,,127.053398155506,37.5913120818203
MA010120220812619222,으뜸플러스경희대점,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100450054,1,대지,45,54,서울특별시 동대문구 회기동 45-54,112303105020,서울특별시 동대문구 회기로,148,,1123010800100450054010288,,서울특별시 동대문구 회기로 148,130872,02459,,2,,127.052718840768,37.5913844665499
MA010120220803613688,자매분식,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56111,한식 일반 음식점업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100420068,1,대지,42,68,서울특별시 동대문구 회기동 42-68,112304115018,서울특별시 동대문구 경희대로1가길,15,,1123010800100420068010535,,서울특별시 동대문구 경희대로1가길 15,130872,02454,,,,127.051394875849,37.5925473300966
